Name,Area,Purpose,Description/Details,Address
KFC (Featured in JJK),Shinjuku,Sightseeing,satosugu fans come pay your respects,"1 Chome-2-10 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
Wagyu Idaten,Osaka,Restaurant,MUST try wagyu bowl (recommended by peter; claimed to be best thing he ate in JP),Addy in google maps
Zuicho Katsudon,Shibuya,Restaurant,MUST try katsudon (best katsudon) ,
Savoy,Minato City,Restaurant,Best pizza in JP,
Wagyu Ichinoya,Taito,Restaurant,Wagyu bowl in tokyo (idaten is better in osak),
Oreyu Shio Ramen,Shibuya,Restaurant,Order ramen @ vending machine (#1 RAMEN IMO WE MUST GO - DUSTIN),Multiple locations all in shibuya
Udon Shin,Shibuya,Restaurant,Udon (recs: Beef/butter udon or Carbonara udon),
Tsurutontan Shinjuku,Shinjuku,Restaurant,Carbonara Udon,
Hanamaruken Hozenji,Osaka,Restaurant,Ramen Open 24hr (very close to our airbnb),
Nintendo Store ,Shibuya,Stores,Nintendo/gaming merch,
Kushikatsu Daruma,Osaka,Restaurant,Super famous Kushikatsu place,Multiple locations in Osaka
KITH TREATS,Shibuya,Dessert,Ice cream shop. Has cereal ice cream,
Den-Den Town,Osaka,Stores,Akihabara but for Osaka (Anime/gaming stuff),
Your Name Stairs,Shinjuku,Sightseeing,it'll be just like the movie,"Sugacho, Shinjuku City, Tokyo 160-0018, Japan"
Gyukatsu kyoto katsugyu,Kyoto,Restaurant,Just like gyukatsu motomura but in kyoto,
GU,Multiple Locations,Stores,Uniqlo's retail company (sister company),
Sushi to Shabushabu No.8,Osaka,Restaurant,All you can eat sushi and wagyu (hotpot),"3F, 6-1 Doyamacho, Kita Ward, Osaka, 530-0027, Japan"
Mom's Touch,Shibuya,Restaurant,Chicken restaurant glazed by many ,"Japan, 〒150-0041 Tokyo, Shibuya, Jinnan, 1 Chome−23−13 1階"
Ramen Nagi,Shinjuku,Restaurant,Open 24/7,"Japan, 〒160-0021 Tokyo, Shinjuku City, Kabukicho, 1 Chome−1−10 ２階"
Torikizoku ,Multiple Locations,Restaurant,Pretty good yakitori chain,
Yakiniku Gu Shinjuku,Shinjuku,Restaurant,"Fire yakiniku, they also take reservations","Japan, 〒160-0023 Tokyo, Shinjuku City, Nishishinjuku, 7 Chome−16−10 西新宿ミカエラビル B1F"
